type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,Runaway Bride,Garry Marshall,1999,PG,"Comedies, Romantic Movies",116,
Movie,Running for Grace,David L. Cunningham,2018,TV-14,"Dramas, Romantic Movies",110,
Movie,Running Out Of Time,Chris Stokes,2018,TV-14,Thrillers,88,
TV Show,Rurouni Kenshin,,1998,TV-14,"Anime Series, International TV Shows",,3
Movie,Russell Madness,Robert Vince,2015,PG,"Children & Family Movies, Comedies, Sports Movies",93,
TV Show,Russell Peters vs. the World,,2013,NR,"Docuseries, Stand-Up Comedy & Talk Shows",,1
Movie,Russell Peters: Notorious,Dave Higby,2013,NR,Stand-Up Comedy,72,
Movie,Rustom,Dharmendra Suresh Desai,2016,TV-14,"Dramas, International Movies",141,
Movie,S Is for Stanley,Alex Infascelli,2016,TV-MA,"Documentaries, International Movies",82,
Movie,S.W.A.T.,Clark Johnson,2003,PG-13,Action & Adventure,117,
Movie,Saath Saath,Raman Kumar,1982,TV-14,"Dramas, Independent Movies, International Movies",118,
Movie,Sacro GRA,Gianfranco Rosi,2013,TV-MA,"Documentaries, International Movies",91,
Movie,Sadece Sen,Hakan Yonat,2014,TV-MA,"Dramas, International Movies, Romantic Movies",105,
Movie,Sadie's Last Days on Earth,Michael Seater,2016,TV-14,"Comedies, Sci-Fi & Fantasy",94,
Movie,Sadma,Balu Mahendra,1983,TV-14,"Dramas, International Movies, Romantic Movies",137,
TV Show,Sadqay Tumhare,Ehtesham Uddin,2014,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",,1
Movie,Saeed Mirza: The Leftist Sufi,"Kireet Khurana, Padmakumar Narasimhamurthy",2016,TV-MA,"Documentaries, International Movies",61,
Movie,Safety Not Guaranteed,Colin Trevorrow,2012,R,"Comedies, Independent Movies, Romantic Movies",86,
Movie,Saheb Bibi Golaam,Pratim D. Gupta,2016,TV-MA,"Dramas, International Movies",118,
Movie,Sairat,Nagraj Manjule,2016,TV-14,"Dramas, International Movies, Romantic Movies",173,
Movie,Sakhi,Sanjay Soorkar,2007,TV-PG,"Dramas, International Movies, Music & Musicals",152,
Movie,Salem: His Sister's Father,Mohamed Hamdy,2014,TV-14,"Dramas, International Movies",99,
Movie,Samantaral,Partha Chakraborty,2017,TV-MA,"Dramas, International Movies",110,
Movie,Samarppanam,K. Gopinathan,2017,TV-PG,"Dramas, International Movies",116,
Movie,Sameer Abu Alneel,Amr Arafa,2013,TV-14,"Comedies, International Movies",107,
Movie,Samson,"Bruce MacDonald, Gabriel Sabloff",2018,PG-13,"Action & Adventure, Dramas, Faith & Spirituality",109,
Movie,Samudri Lootere,Anirban Majumder,2018,TV-Y,Children & Family Movies,65,
Movie,San Pietro,John Huston,1945,TV-14,"Classic Movies, Documentaries",32,
Movie,Sanai Choughade,Rajeev Patil,2008,TV-14,"Comedies, Dramas, International Movies",122,
Movie,Sangam,Raj Kapoor,1964,TV-14,"Classic Movies, Dramas, International Movies",228,
Movie,Santa Claws,Glenn Miller,2014,TV-PG,"Children & Family Movies, Comedies",86,
Movie,Santa's Apprentice,Luc Vinciguerra,2010,TV-G,Children & Family Movies,72,
Movie,Sarah's Key,Gilles Paquet-Brenner,2010,PG-13,"Dramas, International Movies",102,
Movie,Sardaar ji,Rohit Jugraj,2015,TV-14,"Comedies, International Movies, Music & Musicals",140,
Movie,Sardaarji 2,Rohit Jugraj,2016,TV-PG,"Action & Adventure, Comedies, International Movies",145,
Movie,Sarivar Sari,Gajendra Ahire,2005,TV-14,"Dramas, International Movies",126,
Movie,Sarvopari Palakkaran,Venugopan,2017,TV-14,"Dramas, International Movies",133,
Movie,Sat Sri Akal,Kamal Sahani,2008,TV-14,"Dramas, Faith & Spirituality, International Movies",141,
Movie,Satan & Adam,V. Scott Balcerek,2018,TV-MA,"Documentaries, Music & Musicals",78,
TV Show,Satrangi,,2014,TV-PG,"Docuseries, International TV Shows",,1
Movie,Satrangi Re,Aditya Sarpotdar,2012,TV-14,"Dramas, International Movies, Music & Musicals",150,
Movie,Satte Pe Satta,Raj N. Sippy,1982,TV-14,"Comedies, Cult Movies, Dramas",153,
Movie,Saturday Church,Damon Cardasis,2017,TV-MA,"Dramas, LGBTQ Movies",83,
Movie,Savage Dog,Jesse V. Johnson,2017,TV-MA,"Action & Adventure, Independent Movies",95,
Movie,Savage Raghda,Mahmoud Karim,2018,TV-MA,"Comedies, International Movies, Romantic Movies",93,
TV Show,Save Our Shelter,,2015,TV-G,Reality TV,,1
Movie,Saving Mr. Banks,John Lee Hancock,2013,PG-13,"Comedies, Dramas",126,
Movie,Saving Zoë,Jeffrey G. Hunt,2019,R,Dramas,95,
Movie,Say When,Lynn Shelton,2014,R,"Comedies, Dramas, Independent Movies",99,
Movie,Scales: Mermaids Are Real,Kevan Peterson,2017,PG,Children & Family Movies,93,
TV Show,Scandal,,2018,TV-14,"Crime TV Shows, TV Dramas",,7
Movie,Scandal in Sorrento,Dino Risi,1955,TV-PG,"Classic Movies, Comedies, Independent Movies",93,
Movie,Scary Movie,Keenen Ivory Wayans,2000,R,"Comedies, Horror Movies",88,
Movie,Scary Movie 5,Malcolm D. Lee,2013,PG-13,"Comedies, Horror Movies",88,
Movie,Schindler's List,Steven Spielberg,1993,R,"Classic Movies, Dramas",195,
Movie,School Daze,Spike Lee,1988,R,"Comedies, Dramas",120,
Movie,Scooby-Doo on Zombie Island,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",1998,TV-PG,Children & Family Movies,77,
Movie,Scott Pilgrim vs. the World,Edgar Wright,2010,PG-13,"Action & Adventure, Comedies, Cult Movies",112,
Movie,Scream 2,Wes Craven,1997,R,Horror Movies,121,
Movie,Scream 3,Wes Craven,2000,R,Horror Movies,117,
Movie,Seal Team Six: The Raid on Osama Bin Laden,John Stockwell,2012,TV-MA,Action & Adventure,90,
Movie,Searching for Bobby Fischer,Steven Zaillian,1993,PG,"Children & Family Movies, Classic Movies, Dramas",110,
Movie,Searching for Sugar Man,Malik Bendjelloul,2012,PG-13,"Documentaries, International Movies, Music & Musicals",86,
